Документ_x,Наименование ГО_x,Наименование ГП_x,Наименование страны отправления_x,Наименование станции отправления_x,Станция отправления_x,Наименование страны назначения_x,Наименование станции назначения_x,Станция назначения_x,Номер вагона,Общий вес по документу (кг)_x,Вес на вагон (кг)_x,Код груза_x,Наименование груза_x,Код грузополучателя,Дата прибытия,Взыскано по прибытию (последние 2 знака тиыны),Документ_y,Наименование ГО_y,Наименование ГП_y,Наименование страны отправления_y,Наименование станции отправления_y,Станция отправления_y,Наименование страны назначения_y,Наименование станции назначения_y,Станция назначения_y,Общий вес по документу (кг)_y,Вес на вагон (кг)_y,Код груза_y,Наименование груза_y,Код грузоотправителя,Дата отправления,Взыскано при отправления  (последние 2 знака тиыны)
12045674,ДИТТОН ЗАВОД ПРИВОДНЫХ ЦЕПЕЙ АО,"ТОО ""ГЛОБАЛ ИМПОРТ КЗ""",ЛАТВИЯ           ,ДАУГАВПИЛС      ,110003.0,КАЗАХСТАН        ,ЖИЛАЕВО         ,666003.0,52515939,55210.0,55210.0,693227.0,СБОРНАЯ_ПОВАГОННАЯ,10000001.0,2024-10-27,6449600,20109189,"ТОО ""ГЛОБАЛ ИМПОРТ КЗ""",ООО СПКОМПОНЕНТГРУПП,КАЗАХСТАН        ,ЖИЛАЕВО         ,666003.0,БЕЛАРУСЬ         ,СТЕПЯНКА        ,140403.0,55210.0,55210.0,693227.0,СБОРНАЯ_ПОВАГОННАЯ,10000001.0,2024-11-12 10:09:00,6796600
36771154,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,54389903,301402.0,60434.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,307713500,20036697,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60434.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:06:00,0
36771154,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,59926832,0.0,59932.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,0,20036697,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,59932.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:06:00,0
36771154,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,54935937,0.0,60372.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,0,20036697,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60372.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:06:00,0
36771154,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,58834078,0.0,60401.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,0,20036697,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60401.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:06:00,0
36771154,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,58833260,0.0,60263.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,0,20036697,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60263.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:06:00,0
36771176,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,58832866,109128.0,54842.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,123085400,20036917,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,531749.0,54842.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:04:00,430078875
36771176,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,54386586,0.0,54286.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-07,0,20036917,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,54286.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:04:00,0
36771099,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,54986542,120962.0,60484.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-08,123085400,20036917,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60484.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:04:00,0
36771099,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ АЛГОРИТМИКА""","ТОО ""QAZEXPOCENTRE - PIPE""",РОССИЯ           ,ЧЕЛЯБИНСК-Ю.    ,800605.0,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,54984323,0.0,60478.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-08,0,20036917,"ТОО ""QAZEXPOCENTRE - PIPE""",TURKMENENERGO STATE POWER CORPORATION OF THE MINISTRY OF ENERGY OF TURKMENISTAN,КАЗАХСТАН        ,МАНГИСТАУ       ,663306.0,ТУРКМЕНИСТАН     ,БАЛКАНАБАД      ,754007.0,0.0,60478.0,323077.0,ТРУБЫ_СТАЛЬН_СВАРН,39850306.0,2024-10-10 19:04:00,0
